Date,Open,High,Low,Close,Volume
2018-04-29T15:54:00.000Z,9335.9,9335.9,9335.9,9335.9,5.02771102
2018-04-29T15:55:00.000Z,9335.9,9335.9,9335.8,9335.9,13.0386695
2018-04-29T15:56:00.000Z,9335.9,9346.9,9335.9,9346.9,18.02666916
2018-04-29T15:57:00.000Z,9346.9,9346.9,9340,9340.1,11.18404103
2018-04-29T15:58:00.000Z,9340.1,9340.1,9337,9337,8.08265591
2018-04-29T15:59:00.000Z,9336.906205,9336.906205,9318.3,9320,24.52354112
2018-04-29T16:00:00.000Z,9319.9,9320,9319.9,9320,10.42815906
2018-04-29T16:01:00.000Z,9320.4,9328.6,9320.4,9328.4,1.32560824
2018-04-29T16:02:00.000Z,9328.4,9328.4,9328.3,9328.3,2.05752212
2018-04-29T16:03:00.000Z,9328.3,9328.3,9319.197197,9319.197197,1.56160711
2018-04-29T16:04:00.000Z,9319.2,9319.2,9318.169294,9318.3,4.09816739
2018-04-29T16:05:00.000Z,9318.285487,9318.285487,9306.3,9306.4,7.63028565
2018-04-29T16:06:00.000Z,9306.4,9306.4,9285.6,9292.5,35.82894916
2018-04-29T16:07:00.000Z,9292.5,9299.5,9286.4,9299.5,11.6648744
2018-04-29T16:08:00.000Z,9299.4,9299.5,9293.8,9294.5,2.74909801
2018-04-29T16:09:00.000Z,9296,9302.3,9296,9302.1,0.9912794
2018-04-29T16:10:00.000Z,9302.1,9306.8,9301.4,9306.8,7.07460184
2018-04-29T16:11:00.000Z,9306.8,9310.8,9306.8,9310.1,5.64495507
2018-04-29T16:12:00.000Z,9310.1,9310.1,9310.1,9310.1,0.66113992
2018-04-29T16:13:00.000Z,9310.1,9310.1,9310,9310,2.24376389
2018-04-29T16:14:00.000Z,9310.1,9316.2,9310,9316.2,19.6317719
2018-04-29T16:15:00.000Z,9316.3,9316.3,9316.2,9316.3,4.74681531
2018-04-29T16:16:00.000Z,9316.3,9316.3,9316.2,9316.2,1.38227535
2018-04-29T16:17:00.000Z,9316.3,9316.3,9316.3,9316.3,0.21701228
2018-04-29T16:18:00.000Z,9316.3,9316.8,9316.3,9316.8,1.61422953
2018-04-29T16:19:00.000Z,9319.2,9325.7,9319.2,9325.6,1.68021331
2018-04-29T16:20:00.000Z,9325.7,9325.7,9325.6,9325.7,0.77677671
2018-04-29T16:21:00.000Z,9325.7,9325.7,9325.6,9325.7,3.94321932
2018-04-29T16:22:00.000Z,9325.7,9325.7,9325.7,9325.7,1.05702162
2018-04-29T16:23:00.000Z,9325.7,9325.7,9325.7,9325.7,0.87228458
2018-04-29T16:24:00.000Z,9325.7,9325.7,9325.6,9325.7,3.02977953
